Accident_ID,Date,Time_Slot,State,City,Road_Type,Weather,Vehicle_Type,Driver_Age,Alcohol_Involved,Helmet_Used,Estimated_Speed,Casualties,Deaths,Accident_Severity
ACC000001,09-02-2025,Morning,Himachal Pradesh,Manali,State Road,Clear,Two-Wheeler,49,No,Yes,61,0,0,Property Damage
ACC000002,09-10-2023,Evening,West Bengal,Siliguri,Flyover,Clear,Two-Wheeler,24,No,Yes,49,2,0,Minor
ACC000003,24-06-2025,Night,,North Delhi,City Road,Clear,Bus,25,No,NA,38,1,0,Minor
ACC000004,20-10-2024,Afternoon,Haryana,Faridabad,Village Road,Clear,Two-Wheeler,18,No,No,78,3,0,Major
ACC000005,05-06-2022,Night,Tamil Nadu,Tiruchirappalli,Arterial Road,Rainy,Two-Wheeler,29,No,Yes,55,1,0,Minor
ACC000006,25-11-2025,Afternoon,Mizoram,Aizawl,Highway,Clear,Pedestrian-Involved,39,No,NA,90,0,0,Property Damage
ACC000007,19-01-2025,Evening,Gujarat,Rajkot,City Road,Cloudy,Truck,16,No,NA,59,2,1,Fatal
ACC000008,01-03-2025,Afternoon,Maharashtra,Nagpur,Village Road,Clear,Auto-Rickshaw,30,No,NA,45,0,0,Property Damage
ACC000009,21-07-2022,Evening,Maharashtra,Pune,City Road,Cloudy,Two-Wheeler,44,No,Yes,38,1,0,Major
ACC000010,24-10-2023,Evening,Punjab,Ludhiana,Arterial Road,Clear,Car,35,No,NA,49,5,0,Minor
ACC000011,11-07-2023,Evening,Uttar Pradesh,Varanasi,State Road,Rainy,Car,37,No,NA,38,2,0,Minor
ACC000012,23-09-2025,Morning,Karnataka,Mangaluru,Highway,Rainy,Car,16,No,NA,59,3,0,Minor
ACC000013,10-08-2024,Evening,Maharashtra,Mumbai,Village Road,Rainy,Two-Wheeler,35,No,Yes,43,0,0,Property Damage
ACC000014,02-05-2025,Morning,West Bengal,Kolkata,Village Road,Clear,Bus,36,No,NA,41,3,0,Major
ACC000015,15-10-2023,Night,West Bengal,Howrah,Arterial Road,Clear,Two-Wheeler,34,Yes,Yes,50,1,0,Minor
ACC000016,27-11-2022,Morning,Andhra Pradesh,Guntur,State Road,Rainy,Car,38,No,NA,60,3,0,Minor
ACC000017,01-04-2024,Morning,Karnataka,Bengaluru,State Road,Cloudy,Bus,32,No,NA,46,1,0,Minor
ACC000018,17-04-2022,Evening,Uttar Pradesh,Agra,Arterial Road,Clear,Truck,30,No,NA,41,1,1,Fatal
ACC000019,10-05-2025,Morning,Bihar,Patna,City Road,Clear,Two-Wheeler,22,No,Yes,23,1,0,Minor
ACC000020,25-07-2024,Morning,Rajasthan,Jaipur,City Road,Cloudy,Car,49,Yes,NA,38,0,0,Property Damage
ACC000021,14-01-2025,Evening,Haryana,Faridabad,Highway,Cloudy,Car,20,No,NA,103,1,0,Minor
ACC000022,19-06-2023,Night,Tamil Nadu,Coimbatore,Arterial Road,Clear,Two-Wheeler,38,No,Yes,38,2,0,Major
ACC000023,19-11-2025,Night,Uttar Pradesh,Kanpur,Arterial Road,Clear,Two-Wheeler,60,No,Yes,33,0,0,Property Damage
ACC000024,10-08-2025,Morning,Madhya Pradesh,Gwalior,Highway,Foggy,Car,50,No,NA,88,6,1,Fatal
ACC000025,16-02-2025,Morning,Gujarat,Ahmedabad,Village Road,Rainy,Truck,43,No,NA,39,2,0,Minor
ACC000026,17-10-2022,Morning,Rajasthan,Jaipur,City Road,Clear,Bicycle,39,No,NA,56,4,1,Fatal
ACC000027,14-11-2023,Night,Assam,Dibrugarh,Highway,Clear,Two-Wheeler,34,No,Yes,110,4,1,Fatal
ACC000028,14-03-2022,Morning,Rajasthan,Udaipur,City Road,Cloudy,Two-Wheeler,24,No,Yes,50,2,0,Minor
ACC000029,25-08-2022,Morning,Andhra Pradesh,Visakhapatnam,State Road,Cloudy,Two-Wheeler,33,Yes,Yes,64,0,0,Property Damage
ACC000030,01-10-2024,Night,Bihar,Gaya,City Road,Clear,Pedestrian-Involved,43,No,NA,27,1,0,Minor
ACC000031,23-12-2024,Afternoon,Uttar Pradesh,Varanasi,Arterial Road,Clear,Bus,41,No,NA,27,1,0,Minor
ACC000032,15-11-2025,Afternoon,Andhra Pradesh,Visakhapatnam,State Road,Clear,Bicycle,46,No,NA,42,3,0,Major
ACC000033,07-05-2023,Night,Kerala,Kozhikode,City Road,Clear,Car,52,No,NA,50,3,0,Minor
ACC000034,10-07-2023,Morning,West Bengal,Siliguri,Flyover,Cloudy,Two-Wheeler,34,No,Yes,43,1,0,Minor
ACC000035,18-11-2023,Evening,Tamil Nadu,Coimbatore,City Road,Clear,Car,38,No,NA,41,4,0,Minor
ACC000036,10-10-2022,Afternoon,Jharkhand,Dhanbad,State Road,Clear,Two-Wheeler,16,No,Yes,54,1,0,Minor
ACC000037,23-07-2022,Morning,,North Delhi,Highway,Cloudy,Two-Wheeler,65,No,No,70,7,2,Fatal
ACC000038,26-11-2023,Morning,Uttar Pradesh,Ghaziabad,State Road,Rainy,Two-Wheeler,31,No,No,44,6,1,Fatal
ACC000039,27-11-2022,Morning,Bihar,Patna,Village Road,Cloudy,Two-Wheeler,44,No,No,41,4,0,Minor
ACC000040,14-09-2024,Evening,Jharkhand,Ranchi,Highway,,Two-Wheeler,31,No,No,53,3,0,Minor
ACC000041,07-10-2023,Night,Karnataka,Mangaluru,City Road,Clear,Auto-Rickshaw,30,Yes,NA,44,4,2,Fatal
ACC000042,18-05-2025,Night,Jharkhand,Dhanbad,City Road,Clear,Truck,33,Yes,NA,36,1,0,Major
ACC000043,24-10-2024,Morning,Haryana,Gurugram,Highway,Clear,Truck,20,No,NA,84,3,1,Fatal
