Accident_ID,Date,Year,Month,Day,Day_of_Week,Time,Quarter,State,District,Region,Urban_Rural,Highway_Type,Road_Type,Weather,Visibility,Road_Condition,Light_Condition,Traffic_Density,Vehicle_Type,Number_of_Vehicles,Driver_Age,Driver_Gender,Driver_Experience_Years,Speed_Limit,Estimated_Speed,Helmet_Used,Seatbelt_Used,Alcohol_Involved,Mobile_Phone_Usage,Accident_Cause,Collision_Type,Severity,Number_of_Casualties,Number_of_Fatalities,Number_of_Injured,Emergency_Response_Time_Minutes,Hospital_Nearby,Vehicle_Damage_Cost,Insurance_Claim,FIR_Registered,Hit_and_Run,Festival_Season,Holiday,Rainfall_mm,Temperature,Latitude,Longitude
ACC101364,30-04-2024,2024,4,30,Tuesday,08:46,Q2,Odisha,Odisha_District-8,East,Rural,City Road,Roundabout,Cloudy,Moderate,Oil Spill,Daylight,Very High,Bicycle,2,40,Male,21,40,49,N/A,N/A,No,No,Poor Road Condition,Rear-end Collision,Minor,1,0,1,27,Yes,16023,Yes,No,No,No,Yes,0.1,24.7,21.255,84.3874
ACC101814,14-03-2024,2024,3,14,Thursday,19:52,Q1,Bihar,Bihar_District-4,East,Rural,City Road,Curve/Bend,Clear,Good,Oil Spill,Night - Streetlight,High,Two-Wheeler,3,45,Male,21,40,54,Yes,N/A,No,No,Fog/Low Visibility,Multi-Vehicle Pileup,Serious,2,0,2,32,No,76788,Yes,Yes,No,No,No,0.4,20.7,25.2738,83.9617
ACC101488,17-03-2024,2024,3,17,Sunday,19:12,Q1,Jammu and Kashmir,Jammu_District-3,North,Rural,National Highway,Bridge,Cloudy,Moderate,Under Construction,Night - No Streetlight,Moderate,Tractor,3,47,Male,25,80,64,N/A,N/A,No,No,Wrong Side Driving,Head-on Collision,Fatal,1,1,0,32,No,206459,No,Yes,No,Yes,Yes,0.8,20.5,34.38,77.0047
ACC100413,25-08-2023,2023,8,25,Friday,05:26,Q3,Gujarat,Gujarat_District-7,West,Rural,Expressway,Straight Road,Clear,Good,Dry,Night - Streetlight,High,Two-Wheeler,4,18,Male,0,100,135,No,N/A,No,No,Drunk Driving,Hit and Run,Fatal,8,2,6,23,No,178832,No,Yes,Yes,No,No,0.4,26,21.7322,71.7956
ACC100675,28-03-2024,2024,3,28,Thursday,20:46,Q1,Jharkhand,Jharkhand_District-8,East,Urban,Expressway,Roundabout,Clear,Good,Dry,Night - Streetlight,Low,Auto-Rickshaw,2,49,Male,25,100,66,N/A,N/A,No,No,Poor Road Condition,Pedestrian Hit,Minor,0,0,0,21,No,22878,Yes,No,No,No,No,0.3,19.9,23.8949,84.5345
ACC101165,06-05-2023,2023,5,6,Saturday,08:05,Q2,Gujarat,Gujarat_District-8,West,Rural,City Road,Curve/Bend,Cloudy,Moderate,Dry,Daylight,Very High,Two-Wheeler,4,51,Female,27,40,24,Yes,N/A,No,Yes,Mobile Phone Usage,Head-on Collision,Serious,3,0,3,22,No,34400,Yes,Yes,No,No,Yes,0.1,30.6,22.4506,71.9268
ACC100769,24-03-2023,2023,3,24,Friday,18:39,Q1,Assam,Assam_District-5,Northeast,Urban,State Highway,Bridge,Clear,Good,Dry,Dusk/Dawn,Low,Two-Wheeler,2,41,Female,15,60,90,Yes,N/A,No,No,Overspeeding,Vehicle Rollover,Serious,2,0,2,,Yes,67440,Yes,Yes,No,No,No,0.7,29.7,26.0193,93.493
ACC101063,29-11-2024,2024,11,29,Friday,22:18,Q4,Maharashtra,Maharashtra_District-2,West,Urban,National Highway,Bridge,Cloudy,Moderate,Dry,Night - No Streetlight,Low,Two-Wheeler,2,18,Male,0,80,117,Yes,N/A,No,No,Signal Jumping,Vehicle Rollover,Fatal,2,2,0,,No,91984,No,Yes,No,Yes,Yes,1.6,,20.346,75.0521
ACC100340,01-05-2024,2024,5,1,Wednesday,21:32,Q2,Maharashtra,Maharashtra_District-1,West,Urban,City Road,Junction,Cloudy,Moderate,Dry,Night - Streetlight,High,Two-Wheeler,2,22,Male,3,40,32,Yes,N/A,No,No,Overtaking,Pedestrian Hit,Minor,0,0,0,25,Yes,2000,No,Yes,No,No,No,0.9,23.5,20.9311,74.8305
ACC100692,23-03-2023,2023,3,23,Thursday,20:06,Q1,Maharashtra,Maharashtra_District-6,West,Urban,Expressway,Roundabout,Clear,Good,Dry,Night - No Streetlight,Moderate,Two-Wheeler,2,32,Male,13,100,111,No,N/A,Yes,Yes,Mobile Phone Usage,Multi-Vehicle Pileup,Fatal,2,1,1,10,Yes,138239,Yes,Yes,No,Yes,No,2.6,19.6,19.6583,76.98
ACC100442,18-02-2023,2023,2,18,Saturday,17:25,Q1,Tamil Nadu,Tamil_District-7,South,Urban,Village Road,Curve/Bend,Clear,Good,Dry,Daylight,Moderate,Car,2,32,Male,12,30,38,N/A,Yes,No,No,Pedestrian Crossing Negligence,Side Collision,Minor,0,0,0,40,Yes,7503,Yes,No,Yes,No,No,1.8,17.9,11.2905,78.363
ACC100285,16-07-2023,2023,7,16,Sunday,21:20,Q3,Madhya Pradesh,Madhya_District-2,Central,Urban,Expressway,Bridge,Clear,Good,Dry,Night - No Streetlight,High,Two-Wheeler,3,44,Male,25,100,90,No,N/A,No,No,Overtaking,Side Collision,Serious,1,0,1,33,Yes,87399,No,Yes,No,No,No,0.3,21.3,22.6383,79.7182
ACC101269,19-12-2023,2023,12,19,Tuesday,18:01,Q4,Rajasthan,Rajasthan_District-3,North,Urban,City Road,Curve/Bend,Clear,Good,Potholes,Dusk/Dawn,Very High,Car,3,40,Male,15,40,43,N/A,Yes,No,No,Wrong Side Driving,Hit and Run,Minor,2,0,2,56,Yes,7615,Yes,No,No,No,No,1.9,17.6,26.9525,74.283
ACC101536,21-05-2023,2023,5,21,Sunday,19:19,Q2,Karnataka,Karnataka_District-1,South,Urban,State Highway,Junction,Cloudy,Moderate,Dry,Night - Streetlight,Very High,Car,4,59,Male,36,60,63,N/A,No,No,No,Poor Road Condition,Multi-Vehicle Pileup,Minor,0,0,0,13,Yes,14534,Yes,No,No,No,No,0.6,34.5,15.3664,75.7421
ACC101839,14-02-2023,2023,2,14,Tuesday,09:49,Q1,Gujarat,Gujarat_District-8,West,Urban,City Road,Curve/Bend,Clear,Good,Potholes,Daylight,Very High,Auto-Rickshaw,3,30,Female,7,40,62,N/A,N/A,No,No,Wrong Side Driving,Hit and Run,Fatal,3,2,1,32,Yes,156819,Yes,Yes,No,No,No,0.3,20.3,22.6245,71.5663
ACC100759,22-12-2024,2024,12,22,Sunday,22:22,Q4,West Bengal,West_District-6,East,Urban,City Road,Flyover,Clear,Good,Dry,Night - Streetlight,Moderate,Truck,4,33,Male,11,40,36,N/A,N/A,No,No,Overspeeding,Side Collision,Serious,5,0,5,29,No,82340,Yes,Yes,Yes,No,No,2,11.3,22.472,87.6814
ACC100416,15-12-2024,2024,12,15,Sunday,17:19,Q4,Rajasthan,Rajasthan_District-1,North,Urban,City Road,Straight Road,Clear,Good,Dry,Daylight,Very High,Bus,3,39,Male,19,40,54,N/A,N/A,Yes,No,Overtaking,Hit and Run,Serious,3,1,2,17,No,85712,No,Yes,No,No,No,0.6,12.9,27.1085,72.7757
